sample_id,split,label,pixel_00,pixel_01,pixel_02,pixel_03,pixel_04,pixel_05,pixel_06,pixel_07,pixel_08,pixel_09,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,pixel_26,pixel_27,pixel_28,pixel_29,pixel_30,pixel_31,pixel_32,pixel_33,pixel_34,pixel_35,pixel_36,pixel_37,pixel_38,pixel_39,pixel_40,pixel_41,pixel_42,pixel_43,pixel_44,pixel_45,pixel_46,pixel_47,pixel_48,pixel_49,pixel_50,pixel_51,pixel_52,pixel_53,pixel_54,pixel_55,pixel_56,pixel_57,pixel_58,pixel_59,pixel_60,pixel_61,pixel_62,pixel_63
DIGIT-0011,train,0,0,0,2,13,12,1,0,0,0,0,15,12,9,10,0,0,0,2,16,2,0,9,1,0,0,4,16,1,0,4,5,0,0,2,16,4,0,2,9,0,0,0,14,0,0,6,8,0,0,0,12,7,5,15,4,0,0,0,2,13,15,6,0,0
DIGIT-0012,train,0,0,0,7,14,6,0,0,0,0,5,16,9,13,3,0,0,0,8,12,0,5,12,0,0,0,4,12,0,0,11,6,0,0,6,12,0,0,9,7,0,0,1,15,0,1,15,5,0,0,0,13,7,13,11,0,0,0,0,4,15,11,0,0,0
DIGIT-0013,train,0,0,0,2,13,8,0,0,0,0,0,12,15,16,11,0,0,0,2,16,3,3,13,4,0,0,5,13,0,0,9,7,0,0,7,8,0,0,13,3,0,0,3,14,0,1,15,2,0,0,0,14,10,12,12,0,0,0,0,2,13,12,3,0,0
DIGIT-0014,train,0,0,0,11,15,8,0,0,0,0,5,16,16,16,11,0,0,0,8,13,2,9,16,3,0,0,8,15,0,0,15,4,0,0,8,12,0,0,13,6,0,0,8,15,0,1,16,3,0,0,4,16,14,16,9,0,0,0,0,11,16,12,0,0,0
DIGIT-0015,train,0,0,0,2,14,7,0,0,0,0,1,9,12,13,6,0,0,0,5,16,8,2,14,0,0,0,6,16,2,0,12,6,0,0,5,15,1,0,9,9,0,0,0,16,1,0,12,8,0,0,0,11,12,8,15,1,0,0,0,3,13,15,7,0,0
DIGIT-0016,train,0,0,0,3,16,14,4,0,0,0,0,10,16,16,15,0,0,0,2,16,12,5,14,2,0,0,5,16,4,0,10,6,0,0,6,16,1,0,7,9,0,0,3,16,3,0,9,12,0,0,0,13,14,13,16,9,0,0,0,3,13,16,12,2,0
DIGIT-0017,train,0,0,0,4,8,16,13,0,0,0,3,16,16,14,16,2,0,0,4,16,6,0,12,4,0,0,4,12,0,0,12,6,0,0,5,12,0,0,12,3,0,0,4,16,6,6,14,0,0,0,0,12,16,16,7,0,0,0,0,4,12,8,0,0,0
DIGIT-0018,train,0,0,0,2,13,16,9,0,0,0,0,10,16,16,16,2,0,0,4,16,9,1,15,4,0,0,4,16,3,0,12,5,0,0,5,16,1,0,12,8,0,0,1,16,9,0,12,8,0,0,0,10,16,12,15,3,0,0,0,2,13,16,9,0,0
DIGIT-0019,train,0,0,0,0,8,15,4,0,0,0,0,0,13,16,13,0,0,0,1,1,10,3,13,6,0,0,5,8,0,0,6,8,0,0,7,11,0,0,4,8,0,0,3,15,7,0,4,9,0,0,0,7,16,13,11,12,0,0,0,0,6,15,16,4,0
DIGIT-0020,train,0,0,0,4,12,16,9,0,0,0,0,13,10,4,14,3,0,0,5,13,1,0,12,4,0,0,4,12,0,0,8,8,0,0,6,12,0,0,10,7,0,0,3,15,0,2,16,3,0,0,0,16,13,15,11,0,0,0,0,6,15,10,0,0,0
DIGIT-0021,train,0,0,0,4,12,15,2,0,0,0,0,12,14,14,15,2,0,0,2,15,1,11,16,4,0,0,5,11,0,0,11,7,0,0,5,11,0,0,13,3,0,0,0,15,0,1,15,0,0,0,0,14,7,13,11,0,0,0,0,2,15,12,3,0,0
DIGIT-0022,train,0,0,0,5,15,13,1,0,0,0,0,12,16,12,10,0,0,0,0,14,8,0,13,3,0,0,0,16,9,0,10,9,0,0,0,16,13,0,8,9,0,0,1,16,6,2,16,9,0,0,0,13,12,15,15,2,0,0,0,6,16,16,7,0,0
DIGIT-0023,train,0,0,0,3,10,12,0,0,0,0,0,9,16,16,11,0,0,0,0,14,12,2,15,3,0,0,1,16,9,0,9,7,0,0,4,15,1,0,8,8,0,0,3,16,0,0,7,11,0,0,2,15,10,9,15,6,0,0,0,3,15,15,7,0,0
DIGIT-0024,train,0,0,0,2,13,11,5,0,0,0,2,15,10,15,16,0,0,0,4,13,1,0,11,4,0,0,6,6,0,0,6,6,0,0,5,8,0,0,6,7,0,0,0,12,0,0,11,6,0,0,0,10,8,2,16,1,0,0,0,2,11,13,6,0,0
DIGIT-0025,train,0,0,0,8,14,7,0,0,0,0,3,16,13,16,10,0,0,0,7,14,1,7,14,1,0,0,7,11,0,0,13,4,0,0,4,8,0,0,8,8,0,0,4,12,0,0,9,8,0,0,3,15,5,6,15,6,0,0,0,8,16,16,9,0,0
DIGIT-0026,train,0,0,0,6,15,11,3,0,0,0,1,14,16,16,14,0,0,0,4,16,1,9,16,2,0,0,6,16,0,0,13,7,0,0,5,13,0,0,12,8,0,0,4,16,1,0,14,8,0,0,0,14,10,10,15,1,0,0,0,4,13,16,8,0,0
DIGIT-0027,train,0,0,0,2,15,11,1,0,0,0,0,9,12,14,13,2,0,0,2,15,2,1,13,6,0,0,7,16,0,0,9,8,0,0,4,16,0,0,10,7,0,0,3,16,3,2,14,2,0,0,0,14,14,14,9,0,0,0,0,3,11,13,1,0,0
DIGIT-0028,train,0,0,0,10,16,6,0,0,0,0,7,16,8,16,5,0,0,0,11,16,0,6,14,3,0,0,12,12,0,0,11,11,0,0,12,12,0,0,8,12,0,0,7,15,1,0,13,11,0,0,0,16,8,10,15,3,0,0,0,10,16,15,3,0,0
DIGIT-0029,train,0,0,0,1,11,13,1,0,0,0,0,11,13,9,11,0,0,0,2,16,2,0,10,2,0,0,5,12,0,0,5,7,0,0,8,8,0,0,4,8,0,0,2,12,0,0,7,7,0,0,0,13,5,8,16,2,0,0,0,2,15,14,5,0,0
DIGIT-0030,train,0,0,0,7,16,8,0,0,0,0,0,13,16,16,7,0,0,0,4,16,7,11,15,0,0,0,6,12,0,0,14,6,0,0,8,12,0,0,14,8,0,0,7,13,0,6,15,7,0,0,4,16,16,16,16,1,0,0,0,7,14,7,0,0,0
DIGIT-0031,train,0,0,0,9,14,4,0,0,0,0,4,16,16,16,7,0,0,0,5,16,10,10,14,1,0,0,8,14,0,1,13,4,0,0,8,12,0,0,10,8,0,0,8,12,0,0,11,7,0,0,5,15,9,5,13,4,0,0,0,8,16,16,13,1,0
DIGIT-0032,train,0,0,0,3,8,14,9,0,0,0,0,11,14,6,13,3,0,0,3,16,3,0,6,6,0,0,6,15,0,0,8,5,0,0,4,12,0,0,11,1,0,0,1,12,0,4,10,0,0,0,0,9,11,14,5,0,0,0,0,2,13,7,0,0,0
DIGIT-0033,train,0,0,0,3,13,12,2,0,0,0,0,14,16,13,12,0,0,0,2,16,12,0,12,4,0,0,6,15,0,0,10,6,0,0,3,13,0,0,7,9,0,0,3,12,0,1,12,6,0,0,1,13,9,13,16,2,0,0,0,5,14,13,4,0,0
DIGIT-0034,train,0,0,0,0,12,15,4,0,0,0,0,7,9,8,15,0,0,0,2,12,0,0,9,4,0,0,5,11,0,0,4,8,0,0,8,4,0,0,8,6,0,0,2,12,0,1,14,5,0,0,0,13,15,16,12,1,0,0,0,2,10,12,1,0,0
DIGIT-0035,train,0,0,0,1,14,13,1,0,0,0,0,12,16,16,12,0,0,0,1,11,14,11,16,5,0,0,3,8,16,2,8,10,0,0,0,5,14,0,8,7,0,0,0,7,12,0,15,3,0,0,0,7,14,11,11,0,0,0,0,2,16,13,2,0,0
DIGIT-0036,train,0,0,0,13,15,15,4,0,0,0,3,16,14,16,13,0,0,0,3,16,3,5,16,5,0,0,7,16,4,0,13,8,0,0,5,16,2,0,15,8,0,0,3,16,5,7,16,6,0,0,0,14,16,16,14,1,0,0,0,11,16,12,3,0,0
DIGIT-0037,train,0,0,0,3,15,14,3,0,0,0,0,13,8,2,11,0,0,0,3,16,7,0,10,1,0,0,4,14,0,0,7,5,0,0,2,12,0,0,5,7,0,0,2,13,0,0,10,5,0,0,0,13,3,6,14,1,0,0,0,3,15,14,4,0,0
DIGIT-0038,train,0,0,0,7,16,6,5,0,0,0,0,16,12,9,14,1,0,0,4,15,0,0,16,2,0,0,4,14,0,0,15,3,0,0,5,12,0,3,14,0,0,0,3,16,0,6,10,0,0,0,1,15,6,16,3,0,0,0,0,8,15,8,0,0,0
DIGIT-0039,train,0,0,0,3,15,4,0,0,0,0,0,8,13,15,7,0,0,0,2,16,6,5,16,3,0,0,4,14,0,0,11,8,0,0,6,12,0,0,8,8,0,0,4,15,1,0,9,7,0,0,1,15,11,9,16,3,0,0,0,4,10,15,8,0,0
DIGIT-0040,train,0,0,0,4,12,16,4,0,0,0,0,15,15,6,15,0,0,0,3,16,11,0,8,4,0,0,4,11,3,0,4,8,0,0,5,8,0,0,9,7,0,0,1,12,0,0,13,5,0,0,0,13,10,14,11,0,0,0,0,4,12,13,1,0,0
DIGIT-0041,train,0,0,0,2,13,13,2,0,0,0,0,9,16,6,13,0,0,0,1,14,1,0,9,4,0,0,4,9,0,0,6,7,0,0,8,8,0,0,4,8,0,0,4,9,0,0,4,8,0,0,0,15,8,4,12,7,0,0,0,2,10,16,15,2,0
DIGIT-0042,train,0,0,0,4,16,7,1,0,0,0,0,10,13,15,11,0,0,0,2,15,3,4,15,3,0,0,4,16,0,0,12,8,0,0,5,16,1,0,9,8,0,0,4,16,2,1,13,7,0,0,0,14,9,9,14,1,0,0,0,5,14,15,6,0,0
DIGIT-0043,train,0,0,1,14,16,9,0,0,0,0,8,16,12,15,6,0,0,0,6,16,7,5,14,0,0,0,4,16,4,0,14,4,0,0,4,16,3,0,10,6,0,0,6,16,1,0,10,8,0,0,3,16,9,7,15,6,0,0,1,15,16,15,9,0,0
DIGIT-0044,train,0,0,0,5,14,9,3,0,0,0,0,14,11,16,15,2,0,0,5,11,0,11,15,4,0,0,7,8,0,0,9,7,0,0,4,9,0,0,8,8,0,0,4,13,0,0,9,5,0,0,2,16,5,7,15,0,0,0,0,7,15,15,6,0,0
DIGIT-0045,train,0,0,0,1,9,13,1,0,0,0,0,11,11,13,9,0,0,0,2,15,0,4,16,4,0,0,8,9,0,0,13,6,0,0,5,12,0,0,9,8,0,0,0,15,3,0,8,8,0,0,0,6,14,4,11,7,0,0,0,0,11,16,13,2,0
DIGIT-0046,train,0,0,0,4,12,9,0,0,0,0,0,8,15,9,9,0,0,0,0,15,6,0,12,2,0,0,3,12,0,0,8,7,0,0,7,11,0,0,5,8,0,0,6,12,0,0,7,8,0,0,3,16,7,5,15,4,0,0,0,5,13,13,8,0,0
DIGIT-0047,train,0,0,0,1,13,14,11,0,0,0,0,10,12,12,16,4,0,0,0,15,0,2,9,6,0,0,5,13,0,0,6,9,0,0,5,12,0,0,5,7,0,0,1,13,2,0,9,4,0,0,0,12,11,7,11,0,0,0,0,2,15,12,3,0,0
DIGIT-0048,train,0,0,0,9,16,7,2,0,0,0,1,16,10,15,11,0,0,0,4,16,4,1,15,3,0,0,6,16,2,0,10,6,0,0,4,14,0,0,9,8,0,0,4,14,0,0,14,6,0,0,2,16,12,15,12,0,0,0,0,6,15,13,1,0,0
DIGIT-0049,train,0,0,0,2,12,14,1,0,0,0,0,13,16,12,12,0,0,0,1,16,5,0,15,4,0,0,3,16,3,0,11,7,0,0,6,12,0,0,12,5,0,0,4,16,3,2,15,7,0,0,0,15,12,14,13,1,0,0,0,4,15,13,2,0,0
DIGIT-0050,train,0,0,0,11,3,8,7,0,0,0,1,15,11,16,16,7,0,0,0,16,4,5,13,10,0,0,3,13,0,0,8,9,0,0,5,13,0,0,8,8,0,0,6,13,0,7,16,2,0,0,2,16,12,16,10,0,0,0,0,9,13,8,0,0,0
DIGIT-0051,train,0,0,0,9,16,16,5,0,0,0,2,16,7,9,15,1,0,0,6,15,0,0,13,7,0,0,3,16,0,0,8,12,0,0,8,16,4,0,8,12,0,0,11,13,1,0,10,11,0,0,5,16,6,5,15,7,0,0,0,10,16,16,9,0,0
DIGIT-0052,train,0,0,0,1,13,13,0,0,0,0,0,11,14,15,11,0,0,0,4,16,4,2,15,5,0,0,8,9,0,0,12,7,0,0,5,10,0,0,12,7,0,0,5,14,1,2,15,1,0,0,1,14,15,12,12,0,0,0,0,2,13,12,3,0,0
DIGIT-0053,train,0,0,0,4,16,12,1,0,0,0,0,10,16,14,9,0,0,0,0,15,14,2,16,2,0,0,1,16,15,1,12,7,0,0,1,16,8,3,10,10,0,0,0,15,4,0,12,10,0,0,0,11,8,4,16,6,0,0,0,2,13,16,14,1,0
DIGIT-0054,train,0,0,0,0,6,10,14,0,0,0,0,10,16,16,16,6,0,0,1,16,10,4,15,11,0,0,1,12,5,0,9,9,0,0,0,8,9,0,8,8,0,0,0,9,16,16,16,4,0,0,0,2,16,16,14,2,0,0,0,0,6,10,3,0,0
DIGIT-0055,train,0,0,0,0,8,11,0,0,0,0,0,7,16,11,9,0,0,0,0,14,15,4,10,2,0,0,1,16,5,0,6,6,0,0,3,12,0,3,8,9,0,0,3,13,0,0,13,8,0,0,0,11,5,6,15,3,0,0,0,1,11,13,9,0,0
DIGIT-0056,train,0,0,0,5,16,8,1,0,0,0,4,13,14,15,6,0,0,0,8,13,0,8,16,1,0,0,8,12,0,0,12,8,0,0,8,12,0,0,12,8,0,0,5,15,2,0,13,9,0,0,0,15,11,12,15,4,0,0,0,6,16,14,5,0,0
DIGIT-0057,train,0,0,0,3,14,8,0,0,0,0,8,16,16,16,6,0,0,0,11,14,4,7,14,0,0,0,9,10,0,0,12,7,0,0,6,11,0,0,6,8,0,0,0,16,4,0,4,12,0,0,0,10,14,10,14,10,0,0,0,2,12,16,13,2,0
DIGIT-0058,train,0,0,0,6,16,15,3,0,0,0,2,16,11,13,13,0,0,0,7,14,1,1,14,4,0,0,8,12,0,0,8,12,0,0,9,11,0,0,8,12,0,0,8,13,1,0,14,11,0,0,1,16,13,14,16,6,0,0,0,6,16,15,7,0,0
DIGIT-0059,train,0,0,0,4,9,7,13,1,0,0,1,16,6,6,14,4,0,0,7,13,0,0,10,8,0,0,8,6,0,0,12,7,0,0,8,5,0,0,13,4,0,0,8,10,0,5,16,4,0,0,1,15,12,15,10,0,0,0,0,5,14,9,1,0,0
DIGIT-0060,train,0,0,0,12,16,6,0,0,0,0,6,16,11,15,5,0,0,0,8,16,0,11,15,1,0,0,8,14,0,2,16,5,0,0,8,14,0,0,12,7,0,0,5,16,2,1,16,4,0,0,3,15,10,11,14,2,0,0,0,6,12,10,1,0,0
DIGIT-0061,train,0,0,0,4,13,10,1,0,0,0,0,11,16,14,7,0,0,0,1,15,9,0,12,1,0,0,2,16,6,0,7,5,0,0,2,16,10,0,8,8,0,0,1,16,5,2,15,5,0,0,0,11,16,16,13,0,0,0,0,4,15,11,2,0,0
DIGIT-0062,train,0,0,0,6,13,16,7,0,0,0,5,16,16,12,14,1,0,0,9,16,11,0,16,4,0,0,6,16,4,0,13,7,0,0,8,13,0,0,12,7,0,0,4,16,0,0,11,8,0,0,2,15,6,9,16,5,0,0,0,6,16,16,11,0,0
DIGIT-0063,train,0,0,0,8,13,11,1,0,0,0,0,16,12,15,8,0,0,0,3,13,0,5,15,2,0,0,6,9,0,1,15,5,0,0,8,8,0,0,12,6,0,0,5,10,0,1,14,3,0,0,2,16,8,12,13,0,0,0,0,8,16,8,1,0,0
DIGIT-0064,train,0,0,0,1,14,7,0,0,0,0,1,13,16,14,11,0,0,0,4,16,12,0,14,3,0,0,6,14,14,0,8,8,0,0,4,16,14,0,8,8,0,0,1,15,3,0,10,8,0,0,0,7,15,10,16,1,0,0,0,1,9,16,8,0,0
DIGIT-0065,train,0,0,0,0,11,13,1,0,0,0,2,7,16,11,11,0,0,0,8,16,8,0,9,1,0,0,7,12,7,0,4,5,0,0,3,9,0,0,4,9,0,0,1,12,1,0,10,7,0,0,0,7,11,10,15,0,0,0,0,1,11,13,5,0,0
DIGIT-0066,train,0,0,0,2,14,9,1,0,0,0,1,14,10,11,10,0,0,0,4,14,1,0,12,3,0,0,7,8,0,0,3,6,0,0,7,7,0,0,1,9,0,0,3,12,0,0,5,8,0,0,0,11,5,3,12,6,0,0,0,2,14,16,9,0,0
DIGIT-0067,train,0,0,0,8,0,8,7,0,0,0,0,16,4,13,16,2,0,0,2,14,2,7,16,6,0,0,7,12,0,0,13,7,0,0,5,13,0,0,12,8,0,0,5,16,8,4,15,7,0,0,3,16,16,16,16,1,0,0,0,7,14,10,3,0,0
DIGIT-0068,train,0,0,0,5,8,0,0,0,0,0,0,12,6,12,7,0,0,0,2,10,6,9,15,1,0,0,7,8,0,0,12,8,0,0,8,8,0,0,12,6,0,0,5,13,0,0,13,4,0,0,0,14,10,10,13,0,0,0,0,4,12,11,1,0,0
DIGIT-0069,train,0,0,0,4,16,12,1,0,0,0,0,13,16,13,12,0,0,0,5,16,11,0,14,2,0,0,5,16,12,0,9,7,0,0,5,16,6,0,9,6,0,0,1,16,4,0,14,6,0,0,0,10,12,14,16,4,0,0,0,3,14,16,7,0,0
DIGIT-0070,train,0,0,0,6,13,15,6,0,0,0,1,15,16,16,14,0,0,0,4,16,8,4,14,4,0,0,4,16,2,0,9,7,0,0,4,15,0,0,13,5,0,0,2,16,0,5,15,5,0,0,1,15,13,16,11,0,0,0,0,6,15,12,3,0,0
DIGIT-0071,train,0,0,0,0,11,13,0,0,0,0,2,12,16,16,7,0,0,0,12,16,8,3,14,2,0,0,6,16,10,0,14,6,0,0,0,15,9,0,11,5,0,0,0,11,13,0,9,9,0,0,0,8,16,13,16,5,0,0,0,0,13,16,10,1,0
DIGIT-0072,train,0,0,0,3,13,13,2,0,0,0,4,16,15,14,10,0,0,0,3,16,2,0,16,4,0,0,6,13,0,0,13,6,0,0,4,13,0,0,11,9,0,0,0,16,0,0,11,7,0,0,0,9,12,9,15,2,0,0,0,2,11,15,7,0,0
DIGIT-0073,train,0,0,0,15,2,14,13,2,0,0,0,16,15,12,13,8,0,0,2,16,12,1,6,10,0,0,7,15,3,0,5,8,0,0,5,12,0,0,8,8,0,0,5,12,0,7,15,5,0,0,5,16,13,16,6,0,0,0,0,10,12,5,0,0,0
DIGIT-0074,train,0,0,0,3,13,8,1,0,0,0,0,11,16,14,9,0,0,0,4,16,5,4,14,0,0,0,4,15,0,0,12,8,0,0,5,12,0,0,12,8,0,0,2,15,0,0,12,6,0,0,0,14,10,8,15,2,0,0,0,4,13,16,6,0,0
DIGIT-0075,train,0,0,0,8,16,14,4,0,0,0,1,15,7,9,15,2,0,0,8,11,0,0,12,9,0,0,9,5,0,0,6,12,0,0,9,8,0,0,4,12,0,0,8,12,0,0,9,12,0,0,3,16,6,7,15,5,0,0,0,8,16,16,12,0,0
DIGIT-0076,train,0,0,1,10,15,8,0,0,0,0,6,16,7,11,8,0,0,0,7,16,3,1,13,1,0,0,7,13,0,0,10,6,0,0,8,12,0,0,14,4,0,0,3,16,0,6,15,2,0,0,0,15,9,16,4,0,0,0,0,9,15,8,0,0,0
DIGIT-0077,train,0,0,0,6,15,13,1,0,0,0,1,16,10,5,12,0,0,0,8,16,5,0,9,1,0,0,7,15,0,0,7,5,0,0,5,14,0,0,5,9,0,0,2,14,0,1,12,6,0,0,0,10,11,15,16,3,0,0,0,2,11,11,4,0,0
DIGIT-0078,train,0,0,0,7,15,6,0,0,0,0,0,5,8,14,7,0,0,0,0,7,2,4,13,2,0,0,0,14,3,0,12,4,0,0,2,16,0,1,14,5,0,0,5,13,0,7,16,3,0,0,1,16,9,15,13,0,0,0,0,9,15,10,1,0,0
DIGIT-0079,train,0,0,0,2,14,14,4,0,0,0,0,15,16,16,15,1,0,0,6,14,16,5,12,6,0,0,2,11,12,0,6,8,0,0,0,12,4,0,9,6,0,0,0,11,5,0,12,3,0,0,0,8,12,11,15,2,0,0,0,1,12,10,2,0,0
DIGIT-0080,train,0,0,0,4,15,11,1,0,0,0,0,11,14,13,12,0,0,0,3,15,3,1,16,4,0,0,4,14,0,0,12,8,0,0,7,12,0,1,15,7,0,0,5,11,0,5,16,6,0,0,0,12,12,16,10,0,0,0,0,5,12,11,0,0,0
DIGIT-0081,train,0,0,0,7,16,16,4,0,0,0,5,15,14,8,13,0,0,0,8,12,0,0,12,6,0,0,8,8,0,0,6,12,0,0,12,8,0,0,4,12,0,0,8,10,0,0,7,11,0,0,2,16,7,6,14,7,0,0,0,6,15,15,8,0,0
DIGIT-0082,train,0,0,0,3,14,12,1,0,0,0,0,14,15,13,12,0,0,0,0,16,2,0,14,2,0,0,1,14,0,0,10,6,0,0,2,15,0,0,13,5,0,0,3,16,1,1,15,6,0,0,0,13,10,13,15,1,0,0,0,2,12,14,6,0,0
DIGIT-0083,train,0,0,0,10,15,9,2,0,0,0,7,16,9,12,13,0,0,0,8,11,0,0,13,2,0,0,5,12,0,0,8,8,0,0,8,10,0,0,10,6,0,0,5,11,0,0,14,2,0,0,2,16,9,14,12,0,0,0,0,7,14,9,0,0,0
DIGIT-0084,train,0,0,0,4,14,3,0,0,0,0,0,9,16,16,4,0,0,0,0,14,16,16,14,0,0,0,2,16,6,1,16,4,0,0,5,15,0,0,12,4,0,0,5,13,0,0,12,8,0,0,0,16,10,9,16,7,0,0,0,6,16,15,8,0,0
DIGIT-0085,train,0,0,0,3,12,13,1,0,0,0,1,14,11,10,8,0,0,0,4,16,3,0,12,2,0,0,4,13,1,0,9,6,0,0,6,12,0,0,5,8,0,0,3,13,0,0,4,9,0,0,0,15,8,4,13,8,0,0,0,5,15,15,9,0,0
DIGIT-0086,train,0,0,0,1,11,15,2,0,0,0,0,11,14,10,13,0,0,0,2,15,4,0,15,3,0,0,3,13,0,0,9,7,0,0,6,9,0,0,10,8,0,0,2,12,0,0,11,8,0,0,0,13,5,6,16,3,0,0,0,2,14,16,11,1,0
DIGIT-0087,train,0,0,0,7,16,12,1,0,0,0,0,16,11,13,11,0,0,0,3,16,2,4,14,0,0,0,7,13,0,0,13,1,0,0,4,15,0,0,12,6,0,0,2,16,4,0,10,7,0,0,1,15,10,8,14,2,0,0,0,5,16,15,5,0,0
DIGIT-0088,train,0,0,0,5,16,14,1,0,0,0,0,13,10,9,10,0,0,0,1,16,4,0,16,0,0,0,3,16,7,0,13,6,0,0,5,12,0,0,13,8,0,0,4,16,0,0,14,5,0,0,0,15,13,14,12,0,0,0,0,5,14,10,4,0,0
DIGIT-0089,train,0,0,0,7,16,16,10,0,0,0,1,16,16,16,16,4,0,0,4,10,5,3,11,10,0,0,5,12,4,0,6,8,0,0,0,12,2,0,5,8,0,0,0,15,5,5,14,3,0,0,0,11,16,16,12,0,0,0,0,7,16,12,4,0,0
DIGIT-0090,train,0,0,0,7,12,0,0,0,0,0,0,15,15,10,13,0,0,0,5,14,3,3,14,2,0,0,4,10,0,0,10,5,0,0,3,9,0,0,15,3,0,0,2,9,0,3,16,1,0,0,0,14,4,13,8,0,0,0,0,5,16,12,1,0,0
DIGIT-0091,train,0,0,0,4,15,11,2,0,0,0,0,15,15,14,11,0,0,0,2,16,6,0,15,1,0,0,2,16,5,0,11,5,0,0,2,16,4,0,7,9,0,0,0,15,2,0,10,9,0,0,0,11,13,9,16,4,0,0,0,2,10,16,10,0,0
DIGIT-0092,train,0,0,0,3,12,15,3,0,0,0,0,15,16,6,11,0,0,0,7,16,5,0,12,1,0,0,5,14,0,0,9,7,0,0,8,10,0,0,13,8,0,0,4,12,0,2,15,6,0,0,1,14,8,13,12,0,0,0,0,3,15,10,3,0,0
DIGIT-0093,train,0,0,0,5,15,11,9,1,0,0,0,10,16,12,14,7,0,0,0,15,2,0,10,8,0,0,2,12,0,0,11,8,0,0,4,10,0,0,12,5,0,0,8,10,0,3,15,1,0,0,2,15,12,14,9,0,0,0,0,6,14,9,1,0,0
